elapsed_ms,sensor_value
77,2529
179,2529
277,2523
378,2531
478,2530
578,2529
678,2528
821,2528
878,2565
980,2525
1080,2527
1177,2521
1278,2531
1378,2525
1478,2525
1578,2524
1678,2528
1778,2525
1878,2525
1980,2526
2079,2523
2178,2525
2278,2527
2381,2526
2478,2523
2578,2525
2678,2527
2778,2525
2878,2524
2978,2527
3078,2525
3179,2525
3278,2526
3378,2525
3480,2519
3582,2524
3683,2523
3778,2525
3889,2521
3996,2525
4081,2527
4179,2524
4281,2521
4378,2523
4478,2524
4578,2519
4678,2519
4778,2521
4878,2520
4978,2521
5081,2525
5182,2526
5282,2531
5378,2538
5479,2536
5597,2539
5678,2547
5778,2547
5878,2550
5978,2549
6078,2550
6179,2549
6282,2544
6378,2549
6478,2547
6578,2547
6678,2541
6778,2537
6878,2531
6980,2532
7078,2526
7179,2527
7278,2534
7378,2542
7478,2548
7579,2550
7678,2543
7782,2539
7884,2543
7980,2539
8078,2537
8178,2539
8280,2536
8381,2539
8480,2541
8578,2540
8678,2538
8778,2537
8878,2541
8978,2537
9078,2535
9178,2536
9279,2533
9379,2537
9483,2539
9581,2539
9678,2541
9780,2543
9879,2537
9978,2537
10078,2539
10181,2539
10278,2539
10378,2535
10480,2541
10583,2543
10678,2538
10777,2535
10878,2541
10978,2541
11078,2539
11178,2539
11280,2539
11378,2536
11479,2533
11578,2181
11685,1013
11778,1727
11881,2343
11980,557
12082,1275
12184,347
12285,283
12383,773
12479,2397
12588,365
12678,363
12780,264
12879,253
12979,1208
13078,751
13178,283
13278,2365
13380,1620
13478,489
13578,249
13678,1907
13779,1830
13880,2058
13979,2073
14078,2078
14180,2089
14278,2089
14378,2092
14478,2091
14578,2093
14678,2095
14781,2093
14878,2097
14978,2099
15078,2096
15178,2099
15278,2100
15379,2099
15478,2101
15578,2101
15678,2104
15778,2103
15880,2105
15979,2105
16079,2106
16178,2109
16280,2111
16379,2111
16479,2111
16580,2117
16680,2111
16779,2116
16881,2120
16981,2119
17103,2120
17179,2121
17278,2119
17378,2160
17478,2129
17584,2163
17679,2203
17778,2214
17878,2203
17978,2200
18080,2199
18178,2200
18278,2197
18378,2195
18478,2197
18578,2196
18679,2196
18778,1945
18878,280
18980,481
19081,285
19186,580
19278,277
19378,263
19478,1376
19578,253
19679,265
19778,989
19878,1211
19978,255
20079,484
20180,287
20278,813
20381,1640
20479,1206
20582,269
20683,301
20781,295
20886,294
20980,251
21081,1371
21180,234
21281,448
21378,1620
21478,1751
21579,1751
21678,1785
21778,1783
21878,1783
21979,1791
22078,1803
22178,1804
22278,1811
22381,1809
22478,1809
22578,1815
22678,1813
22778,1821
22882,1815
22978,1816
23078,1819
23178,1815
23280,1815
23378,1817
23478,1820
23578,1821
23678,1817
23778,1823
23879,1817
23978,1821
24078,1821
24178,1821
24278,1819
24378,1823
24478,1822
24578,1824
24678,1827
24779,1829
24882,1822
24987,1821
25079,1823
25178,1821
25278,1821
25394,1823
25478,1829
25580,1832
25678,1832
25778,1836
25878,1833
25978,1830
26078,1832
26178,1832
26278,1831
26378,1829
26479,1829
26578,1828
26685,1813
26777,548
26878,333
26980,2334
27078,252
27178,631
27278,249
27378,295
27478,254
27579,253
27678,437
27778,335
27880,1578
27978,261
28078,313
28178,329
28278,266
28378,285
28478,1839
28579,2109
28678,295
28778,271
28879,266
28977,368
29081,1967
29179,2365
29278,2007
29387,1999
29490,2009
29592,2015
29694,2019
29781,2027
29880,2031
29978,2035
30078,2037
30178,2035
30278,2036
30380,2035
30478,2029
30578,2031
30678,2029
30778,2029
30880,2031
30978,2031
31078,2031
31179,2032
31284,2034
31379,2031
31478,2038
31583,2035
31678,2031
31778,2032
31882,2036
31978,2037
32078,2037
32178,2040
32279,2039
32378,2039
32479,2042
32578,2040
32678,2037
32779,2040
32878,2040
32980,2037
33078,2040
33179,2042
33280,2041
33382,2039
33479,2040
33578,2040
33688,2039
33778,2043
33879,2040
33981,2041
34081,2047
34178,2046
34278,2045
34378,2074
34478,1564
34578,288
34680,700
34778,247
34878,250
34979,811
35078,263
35181,293
35279,2066
35379,595
35480,1867
35578,443
35678,265
35778,269
35879,277
35978,288
36079,287
36184,288
36284,287
36378,291
36478,285
36578,286
36678,287
36778,293
36878,288
36978,289
37078,287
37180,291
37278,288
37378,293
37478,291
37580,287
37681,288
37779,291
37888,294
37986,285
38079,287
38188,288
38278,295
38381,293
38478,291
38578,291
38678,287
38778,295
38878,292
38978,295
39078,294
39178,292
39281,295
39383,292
39482,288
39578,294
39678,295
39778,291
39878,294
39978,291
40078,291
40178,291
40278,291
40378,293
40478,290
40578,288
40678,289
40778,290
40878,293
40978,291
41078,291
41178,292
41278,265
41379,251
41479,277
41578,316
41678,281
41781,249
41881,1755
41986,845
42079,247
42178,269
42280,2378
42386,1908
42481,254
42579,299
42681,299
42778,679
42878,2301
42978,1236
43078,340
43178,2343
43278,1263
43378,2233
43479,2171
43578,1096
43680,1301
43778,1335
43879,1355
43979,1365
44078,1369
44178,1367
44278,1371
44378,1371
44478,1365
44579,1355
44682,1352
44778,1384
44879,1383
44978,1388
45078,1381
45178,1381
45278,1380
45379,1383
45478,1384
45579,1379
45678,1381
45778,1381
45878,1381
