elapsed_ms,sensor_value
96,2517
196,2512
296,2514
396,2515
496,2514
603,2510
696,2513
796,2515
896,2511
997,2516
1097,2515
1196,2516
1298,2518
1396,2479
1496,2541
1596,2547
1696,2416
1800,2429
1901,2263
2003,2423
2097,2532
2196,2531
2300,2531
2399,2536
2496,2534
2596,2437
2696,732
2797,1147
2897,271
2996,285
3096,263
3197,2161
3296,2199
3397,824
3496,301
3596,2075
3698,279
3799,1453
3899,1235
4003,2363
4096,2077
4197,2149
4296,2224
4396,2101
4496,2366
4596,911
4699,732
4796,1845
4896,264
4995,314
5096,265
5196,2185
5296,2205
5398,2323
5495,1493
5596,1392
5695,1244
5796,475
5896,273
5996,851
6098,1292
6201,1513
6304,1429
6398,1417
6508,1481
6603,1568
6708,1771
6796,1852
6897,1895
6997,1925
7096,1821
7196,1597
7297,1702
7397,1403
7498,1508
7599,509
7696,1634
7796,1655
7897,1334
7996,1108
8098,1077
8197,1041
8302,279
8397,249
8498,468
8598,635
8696,683
8798,656
8896,647
8997,651
9096,647
9202,651
9296,645
9396,649
9496,645
9596,645
9696,647
9797,648
9896,645
9998,645
10096,646
10197,658
10297,657
10400,651
10503,639
10597,647
10703,644
10797,649
10897,643
11009,645
11600,637
11601,645
11601,647
11601,646
11602,649
11602,645
11696,645
11796,647
11896,645
11996,647
12096,645
12198,647
12298,647
12399,645
12497,647
12600,650
12702,646
12796,646
12896,647
12996,647
13096,647
13196,649
13296,648
13396,649
13496,650
13597,645
13696,649
13796,647
13897,649
13996,646
14096,646
14196,646
14296,646
14396,632
14496,670
14610,332
14701,633
14804,1182
14900,1611
14999,265
15096,1577
15196,1496
15296,279
15396,2045
15497,275
15596,1078
15696,2013
15797,1639
15896,1445
15996,1895
16099,1764
16197,2164
16297,1659
16396,1562
16498,1103
16597,923
16696,757
16799,1327
16896,1787
16998,1125
17096,1999
17197,1353
17296,271
17396,276
17496,2135
17597,2127
17696,2132
17796,2393
17896,2399
17996,2407
18097,2411
18196,2412
18296,2412
18397,2413
18496,2413
18596,2419
18698,2424
18797,2413
18899,2415
19002,2421
19104,2419
19207,2422
19301,2422
19397,2415
19508,2421
19596,2421
19697,2419
20099,2421
20100,2424
20100,2423
20100,2425
20196,2422
20297,2424
20396,2425
20501,2427
20597,2427
20698,2428
20797,2425
20898,2431
20996,2426
21102,2425
21201,2429
21296,2425
21396,2427
21496,2429
21596,2427
21696,2428
21798,2427
21896,2429
21996,2427
22096,2430
22196,2427
22296,2429
22397,2431
22508,2427
22596,2432
22696,2431
22796,2429
22896,2429
22997,2426
23097,2427
23201,2425
23303,2429
23397,2429
23507,2431
23602,2428
23704,2429
23796,2432
23896,2431
23999,2429
24096,2437
24196,2431
24296,2431
24399,2431
24496,2431
24596,2429
24696,2439
24796,2432
24896,2439
24998,2437
25097,2439
25198,2365
25298,2131
25400,2039
25496,1341
25596,2068
25696,2318
25796,1804
25896,1962
25998,659
26096,693
26196,1939
26296,2410
26396,283
26496,1047
26596,271
26698,1672
26796,268
26897,381
26997,281
27097,2199
27196,2169
27296,823
27399,263
27501,1289
27602,276
27698,304
27800,1273
27901,1702
27997,1674
28096,2067
28196,2203
28297,276
28396,266
28496,1405
28596,825
28697,863
28796,1324
28897,1887
28996,1916
29096,1915
29196,1919
29299,1917
29398,1919
29496,1919
29598,1926
29702,1927
29796,1933
29896,1929
29996,1929
30096,1928
30196,1928
30297,1931
30396,1932
30497,1928
30596,1933
30696,1932
30796,1930
30898,1933
30996,1933
31096,1928
31209,1932
31296,1931
31396,1931
31497,1938
31596,1932
31699,1933
31802,1932
31896,1934
31999,1931
32108,1933
32198,1935
32298,1932
32397,1935
32498,1935
32598,1933
32696,1940
32796,1933
32896,1933
32996,1934
33096,1937
33196,1935
33297,1939
33397,1933
33498,1939
33596,1938
33698,1939
33797,1940
33900,1941
34002,1939
34097,1940
34196,1941
34296,1943
34396,1941
34496,1941
34596,1949
34697,1961
34796,1940
34896,1950
34997,1937
35096,1363
35196,1235
35296,852
35396,301
35496,287
35596,265
35696,286
35797,279
35898,250
35998,250
36102,287
36204,275
36315,979
36397,1311
36513,1247
36596,1247
36697,1257
36796,1250
36897,1252
36997,1250
37096,1253
37196,1251
37298,1246
37396,1249
37496,1249
37596,1250
37696,1253
37798,1246
37897,1251
37998,1253
38099,1252
38200,1251
38304,1252
38396,1254
38497,1253
38599,1253
38696,1255
38796,1386
38896,1369
38996,1408
39096,1401
39196,1401
39296,1400
39396,1403
39496,1087
39596,593
39696,1384
39797,944
39897,294
39996,379
40096,303
40199,1227
40301,261
40400,265
40500,286
40598,614
40699,1724
40803,395
40896,1943
40996,1173
41097,259
41196,1423
41296,2354
41396,277
41496,267
41596,264
41697,264
41798,267
41896,267
41997,263
42099,265
42199,263
42296,266
42398,265
42497,264
42599,268
42697,264
42796,265
42896,265
42996,265
43096,265
43196,269
43296,265
43396,265
43498,271
43596,264
43696,265
43797,265
43896,264
43996,264
44096,265
44197,265
44297,265
44397,266
44499,261
44604,265
44696,267
44811,265
44899,265
44998,268
45106,267
45196,267
45296,267
45398,267
45496,267
45596,265
45696,268
45797,266
45896,265
45996,269
46096,265
46197,265
46298,264
46397,265
46498,267
46598,267
46699,269
46797,266
46896,265
46998,267
47096,264
47197,269
47297,268
47396,265
47500,265
47596,269
47696,268
47796,1043
47896,1140
47996,809
48097,329
48196,1774
48302,2025
48400,2022
48496,1339
48596,2507
48697,1852
48800,1829
48904,349
48997,699
49100,263
49202,1488
49308,2027
49396,1445
49498,1679
49596,2327
49697,331
49797,2269
49897,2327
49996,2317
50098,2323
50196,2329
50296,2325
50398,2327
50497,2330
50598,2331
50698,2332
50798,2333
50898,2332
51000,2333
51098,2335
51197,2327
51297,2331
51396,2333
51496,2333
51597,2336
51696,2335
51797,2333
51897,2333
51996,2333
52097,2334
52199,2336
52296,2335
52396,2335
52502,2336
52596,2337
52696,2334
52796,2335
52896,2332
53001,2330
53096,2335
53206,2336
53298,2335
53399,2341
53503,2332
53597,2333
53697,2339
53797,2333
53897,2333
53996,2339
54096,2335
54196,2335
54297,2333
54396,2333
54496,2335
54597,2339
54696,2333
54797,2334
54900,2333
55002,2334
55096,2335
55198,2333
55297,2336
55396,2336
55497,2339
55596,2335
55696,2338
55798,2335
55897,2333
55996,2335
56096,2338
56196,2339
56297,2335
56399,2333
56497,2335
56596,2338
56705,2335
56796,2343
56896,2339
56998,2336
57097,2344
57197,2332
57298,2329
57398,2340
57504,2341
57599,2335
57696,2333
57797,2342
57896,2341
57996,2344
58097,2345
58198,2340
58297,2253
58404,2239
58496,2088
58596,2007
58696,374
58797,347
58897,330
58996,645
59101,347
59196,2268
59298,315
59397,2510
59499,317
59603,1484
59696,282
59796,759
59896,1397
59996,315
60096,797
60196,488
60296,1165
60396,1499
60496,1544
60598,1464
60700,1831
60796,1775
60896,1856
60996,1837
61097,2066
61196,2087
61296,2093
61397,2119
61497,2127
61599,2103
61702,2130
61797,2136
61897,2144
61997,2137
62098,2141
62197,2143
62296,2139
62397,2141
62497,2146
62596,2151
62696,2152
62796,2155
62896,2158
62996,2157
63096,2156
63196,2157
63299,2159
63399,2159
63497,2163
63599,2161
63697,2159
63796,2165
63902,2163
63996,2163
64096,2163
64196,2164
64297,2165
64399,2167
64496,2167
64596,2167
64697,2167
64796,2167
64896,2168
65001,2169
65097,2168
65205,2171
65299,2171
65397,2169
65497,2171
65598,2171
65703,2168
65799,2171
65905,2169
66010,2170
66097,2181
66197,2180
66296,2176
66398,2175
66496,2173
66598,2173
66701,2181
66796,2175
66896,2183
66997,2173
67096,2151
67199,1961
67300,1337
67397,743
67498,1947
67600,1437
67698,1039
67800,343
67897,2003
67996,1486
68097,264
68196,265
68297,330
68397,349
68496,1735
68596,295
68696,309
69101,1573
69102,1874
69103,279
69103,1129
69196,1672
69297,1709
69406,1709
69496,1727
69596,1735
69697,1741
69796,1751
69896,1765
69997,1765
70099,1769
70201,1769
70297,1778
70406,1779
70507,1784
70598,1787
70696,1791
70796,1798
70896,1803
70996,1807
71096,1811
71196,1813
71296,1813
71396,1817
71497,1820
71596,1823
71696,1823
71796,1827
71898,1829
71997,1831
72098,1833
72198,1833
72300,1839
72403,1758
72496,989
72596,549
72696,1848
72796,2039
72898,295
72996,1620
73106,249
73196,311
73298,277
73396,2467
73496,280
73596,1925
73697,1369
73796,416
73896,265
73996,263
74096,825
74204,327
74299,415
74418,255
74505,494
74597,267
74702,1317
74797,934
74915,1080
74996,925
75096,757
75196,1885
75330,2094
75398,1563
75497,1621
75605,619
75696,1271
75796,1099
75897,797
76000,327
76096,375
76199,267
76298,265
76398,269
76498,279
76600,285
76709,398
76814,987
76912,1012
76998,1051
77096,1271
77196,1984
77296,1187
77396,489
77496,813
77596,915
77696,797
77796,1051
77896,939
77996,847
78096,1253
78196,1333
78296,1677
78396,1632
78504,1676
78599,1669
78705,1672
78807,1669
78898,1673
79008,1676
79097,1677
79198,1679
79296,1677
79396,1684
79498,1682
79596,1683
79697,1683
79796,1685
79896,1686
80010,1690
80096,1689
80202,1688
80298,1690
80397,1692
80497,1692
80605,1695
80696,1696
80799,1695
80901,1700
80997,1701
81096,1703
81704,1701
81704,1703
81705,1705
81705,1703
81705,1705
81705,1704
81796,1706
81898,1707
81996,1711
82096,1709
82196,1715
82296,1711
82397,1713
82498,1715
82596,1712
82697,1719
82797,1721
82899,1724
83004,1720
83096,1720
83197,1721
83298,1720
83398,1721
83516,1721
83596,1723
83696,1724
83797,1721
83896,1725
83996,1727
84096,1725
84197,1726
84304,1728
84397,1734
84496,1743
84596,1745
84698,1053
84797,267
84898,2108
84999,263
85099,1608
85202,2393
85297,309
85397,799
85496,839
85597,268
85696,271
85796,279
85896,483
85996,773
86098,1388
86197,265
86296,326
86396,1381
86496,1675
86597,1810
86697,1405
86796,679
86897,599
87000,477
87123,493
87204,310
87297,261
87399,265
87507,262
87596,266
87701,264
87796,267
87897,567
87996,294
88097,407
88198,819
88296,595
88396,622
88532,443
88597,952
88697,1203
88796,921
88896,1173
88999,1183
89098,1127
89196,1171
89298,1144
89399,1501
89509,1513
89597,1555
89696,1577
89796,1593
89896,1606
89996,1607
90096,1610
90197,1617
90296,1612
90396,1613
90498,1624
90596,1625
90696,1623
90797,1627
90896,1629
90996,1627
91096,1637
91197,1632
91296,1637
91399,1647
91504,1635
91597,1643
91700,1647
91797,1641
91897,1644
91997,1653
92097,1643
92197,1648
92298,1651
92396,1648
92496,1655
92596,1657
92698,1653
92796,1658
92898,1650
92996,1659
93096,1663
93197,1660
93303,1547
93399,1357
93515,802
93602,329
93696,1866
93796,308
93898,277
93996,1559
94096,346
94196,760
94297,2345
94396,1263
94496,293
94596,278
94696,301
94796,283
94896,524
94997,582
95096,949
95205,1333
95296,1293
95396,1413
95497,1460
95596,1606
95699,1654
95797,1652
95910,1683
96009,1707
96102,1708
96204,1719
96297,1728
96396,1677
96497,1722
96596,1751
96696,1755
96797,1753
96896,1752
96996,1761
97097,1751
97196,1750
